event_date,venue,event_uid,calendar_summary,post_event_name,songs,se,interludes,encores,doors,showtime,live_start,live_end,length_bucket,source_file
2025-09-13,Veats SHIBUYA,1cd5nd8bicv5rt12h9no8andke@google.com,【プレデビューイベント】airattic presents 「ATTIC PARADE」,airattic presents 「ATTIC PARADE」,2,0,0,0,11:30,12:00,12:30,12:40,10 min,2025-09-13_manual.txt
2025-09-20,Spotify O-Crest,44jp1sjrk0rpp74k6s09o7d4n9@google.com,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,Drawry.デビューライブ「first impression」,8,1,0,1,11:40,12:15,12:15,,,2026-08-17.txt
2025-09-21,恵比寿CreAto,6p7tm36bkf877r894mbdlfsf49@google.com,【イベント】「ソノウチ」,「ソノウチ」,6,1,0,0,10:15,10:30,11:45,12:10,25 min,2026-08-17.txt
2025-09-23,SHIBUYA RING,19rdbf410ch4jvefjqe0err42o@google.com,【イベント】「LEADING SUNNY」,「LEADING SUNNY」,7,1,0,0,15:00,15:30,16:30,17:00,30 min,2026-08-17.txt
2025-09-23,新宿LOFT,79fu26uj83psaoi0uphnqhakql@google.com,【イベント】会心ノ一撃 pre.「DE•DE•DE•DE•DAY LIVE !!」 supported by NEW AGE,会心ノ一撃 pre.「DE•DE•DE•DE•DAY LIVE !!」supported by NEW AGE,6,1,0,0,11:30,12:00,12:50,13:15,25 min,2026-08-17.txt
2025-09-27,SHIBUYA CYCLONE,78iudvis1fsp8dc5ugsf1cjbmp@google.com,【イベント】「ベルハー・イン・ザ・ダーク vol.4」,「ベルハー・イン・ザ・ダーク vol.4」,6,1,0,0,11:30,12:00,12:00,12:25,25 min,2026-08-17.txt
2025-09-28,Flowers Loft,0uf0o3j5hen17n5hgfvb83rd2e@google.com,【イベント】INFINITY LIVE presents『THE PRISMING vol.32』,INFINITY LIVE presents『THE PRISMING vol.32』,6,1,0,0,10:45,11:00,12:00,12:25,25 min,2026-08-17.txt
2025-10-03,新宿MARZ,5ujs63mf2bkjq9kj237ndle529@google.com,【イベント】UNIVERSE企画『NEW ORDER』,UNIVERSE企画『NEW ORDER』,7,1,0,0,18:30,19:00,20:00,20:30,30 min,2026-08-17.txt
2025-10-05,Flowers Loft,3hlkt7vfhjk7ve2kb5aumb08j4@google.com,【イベント】『アネモネ』,『アネモネ』,6,1,0,0,16:30,17:00,19:20,19:45,25 min,2026-08-17.txt
2025-10-11,TwinBoxGARAGE,2uogrkev03oq9bjvpuvjqtpjum@google.com,【イベント】「あきばのともだち」,『あきばのともだち』,6,1,0,0,11:30,12:00,12:50,13:15,25 min,2026-08-17.txt
2025-10-12,下北沢MOSAiC,697pjnraaoi8jpfvoi5u4nc8t9@google.com,【イベント】雨模様のソラリス presents「Festival in the Rain 2025」,雨模様のソラリス presents「Festival in the Rain 2025」,6,1,0,0,11:30,12:00,18:15,18:40,25 min,2026-08-17.txt
